id,entity,specialty,lat,lon,state,county,city,effectiveness,efficiency,location_confidence,total_claims_volume,medicare_claims_volume,total_claims_amount,medicare_total_claims_amount,new_patient_claims
207,Providence Health 3,obstetrics/gynecology,41.992721,-85.151545,mi,wayne,Wayne,3,5,0.87,17,32,427753.31,143622.52,18
208,Providence Health 3,obstetrics/gynecology,42.339883,-82.346325,mi,kalamazoo,Kalamazoo,5,3,0.77,14,188,145126.11,176032.66,11
209,Providence Health 3,obstetrics/gynecology,42.131307,-85.108887,mi,wayne,Wayne,2,4,0.64,426,194,383281.11,80375.4,10
210,Ascension Michigan 3,psychiatry,42.704401,-84.497253,mi,oakland,Oakland,3,2,0.72,184,8,405228.78,97914.26,8
211,Ascension Michigan 3,family medicine,42.674871,-83.556682,mi,oakland,Oakland,3,3,0.52,440,193,463927.48,8727.64,31
212,Ascension Michigan 3,general practice,42.318617,-81.92871,mi,wayne,Wayne,2,2,0.82,286,198,173369.59,147944.98,29
213,Michigan Health & Hospital Corp 3,psychiatry,42.419658,-81.965074,mi,oakland,Oakland,3,1,0.67,46,5,43824.48,6104.83,7
214,Michigan Health & Hospital Corp 3,psychiatry,42.604565,-81.476319,mi,oakland,Oakland,1,4,0.85,200,108,205559.09,146014.15,13
215,Michigan Health & Hospital Corp 3,endocrinology,42.25396,-85.698838,mi,oakland,Oakland,3,3,0.77,407,192,292749.93,141062.47,44
216,Michigan Health & Hospital Corp 3,endocrinology,42.504529,-82.337089,mi,oakland,Oakland,2,1,0.75,243,128,356472.37,14794.07,1
217,Michigan Health & Hospital Corp 3,psychiatry,42.647197,-81.396432,mi,oakland,Oakland,4,2,0.64,401,124,208500.32,181691.65,28
218,Michigan Health & Hospital Corp 3,psychiatry,42.672544,-82.830236,mi,oakland,Oakland,1,5,0.52,412,57,213899.5,153124.23,30
219,Trinity Health 3,internal medicine,42.501195,-81.744436,mi,oakland,Oakland,2,2,0.91,63,56,322174.51,107624.3,49
220,Trinity Health 3,general practice,42.626506,-82.410826,mi,oakland,Oakland,4,5,0.96,273,16,253380.76,60433.45,17
221,Trinity Health 3,pediatrics,42.583433,-82.03164,mi,oakland,Oakland,4,1,0.66,488,97,32957.44,58853.06,37
222,Trinity Health 3,pediatrics,42.528457,-81.897584,mi,oakland,Oakland,5,4,0.87,166,160,59927.27,75245.61,18
223,Trinity Health 3,internal medicine,42.660441,-82.965558,mi,oakland,Oakland,3,5,0.71,207,116,468797.37,136652.31,16
224,Trinity Health 3,pediatrics,42.490168,-80.277462,mi,oakland,Oakland,4,3,0.92,448,142,78166.77,54575.12,42
225,Trinity Health 3,general practice,42.528726,-83.147444,mi,oakland,Oakland,1,4,0.85,103,25,242949.24,128696.25,36
226,Priority Health 3,pediatrics,42.149474,-84.805006,mi,wayne,Wayne,4,1,0.74,155,109,35653.96,154675.69,17
227,Independence Blue Cross 3,orthopedic surgery,42.549012,-82.799288,mi,oakland,Oakland,1,1,0.93,319,188,327379.45,160266.92,22
228,Independence Blue Cross 3,orthopedic surgery,42.485234,-83.900949,mi,oakland,Oakland,4,2,0.87,335,176,203614.14,144075.34,0
229,Independence Blue Cross 3,orthopedic surgery,42.300313,-82.574205,mi,wayne,Wayne,2,5,0.63,62,78,17199.76,78923.34,23
230,Independence Blue Cross 3,endocrinology,42.117295,-87.308213,mi,wayne,Wayne,1,4,0.8,33,33,237406.63,192882.35,25
231,Independence Blue Cross 3,orthopedic surgery,42.109651,-81.002242,mi,wayne,Wayne,1,4,0.99,292,185,47428.62,79603.16,40
232,Independence Blue Cross 3,orthopedic surgery,42.110857,-85.281663,mi,wayne,Wayne,5,1,0.89,451,11,180566.84,77489.16,15
